,ID,Name,Description,Price Per 1000,Min,Max
0,1602,Netflix 1 MONTH (4screens) {ULTRA HD PLAN},Type 1000 in quantity  100% Replacement Guarantee  Classicsmm exclusive  after ordering whatsapp on 8279599630 along with your order id.  ,                                                                                         ₹200.00                                         ,1000,1000
1,1603,Amazon Prime video,Type 1000 in quantity  100% Replacement Guarantee  Classicsmm exclusive  after ordering whatsapp on 8279599630 along with your order id.  ,                                                                                         ₹39.00                                         ,1000,1000
2,1604,ALT Balaji,Type 1000 in quantity  100% Replacement Guarantee  Classicsmm exclusive  after ordering whatsapp on 8279599630 along with your order id.  ,                                                                                         ₹39.00                                         ,1000,1000
3,1605,VIU,Type 1000 in quantity  100% Replacement Guarantee  Classicsmm exclusive  after ordering whatsapp on 8376080876 along with your order id.  ,                                                                                         ₹39.00                                         ,1000,1000
4,1606,ZEE 5,Type 1000 in quantity  100% Replacement Guarantee  Classicsmm exclusive  after ordering whatsapp on 8279599630 along with your order id.  ,                                                                                         ₹39.00                                         ,1000,1000
5,1607,HBO,Type 1000 in quantity  100% Replacement Guarantee  Classicsmm exclusive  after ordering whatsapp on 8376080876 along with your order id.  ,                                                                                         ₹39.00                                         ,1000,1000
6,1609,EROS NOW,Type 1000 in quantity  100% Replacement Guarantee  Classicsmm exclusive  after ordering whatsapp on 8376080876 along with your order id.  ,                                                                                         ₹39.00                                         ,1000,1000
7,1610,Hotstar Premium,Type 1000 in quantity  100% Replacement Guarantee  Classicsmm exclusive  after ordering whatsapp on 8279599630 along with your order id.  ,                                                                                         ₹39.00                                         ,1000,1000
8,1611,PORNHUB (CRACKED),Type 1000 in quantity  100% Replacement Guarantee  Classicsmm exclusive  after ordering whatsapp on 8279599630 along with your order id.  ,                                                                                         ₹39.00                                         ,1000,1000
9,1968,Netflix 1 screen ,type 1000 in quantity  put your whatsapp number in link    u will get 1 screen of your name  u will not allowed to change anything in account (email or password)  if user changes anything  his replacement policy will be void  after ordering create a support ticket with your order id,                                                                                         ₹100.00                                         ,1000,1000
10,1969,Netflix 2 screen ,type 1000 in quantity  put your whatsapp number in link    u will get 2 screensof your names  u will not allowed to change anything in account (email or password)  if user changes anything  his replacement policy will be void  after ordering create a support ticket with your order id,                                                                                         ₹150.00                                         ,1000,1000
11,1612,Netflix 1 year UHD (4 SCREENS)  ,replacements at month end  user should not change password or email  Type 1000 in quantity  100% Replacement Guarantee  Classicsmm exclusive  after ordering whatsapp on 8279599630 along with your order id.  ,                                                                                         ₹800.00                                         ,1000,1000
12,1613,Amazon Prime video ( every month account will be replaced),Type 1000 in quantity  100% Replacement Guarantee  Classicsmm exclusive  after ordering whatsapp on 8279599630 along with your order id.  ,                                                                                         ₹200.00                                         ,1000,1000
13,1614,ALT Balaji,Type 1000 in quantity  100% Replacement Guarantee  Classicsmm exclusive  after ordering whatsapp on 8279599630 along with your order id.  ,                                                                                         ₹100.00                                         ,1000,1000
14,1615,VIU,Type 1000 in quantity  100% Replacement Guarantee  Classicsmm exclusive  after ordering whatsapp on 8376080876 along with your order id.  ,                                                                                         ₹100.00                                         ,1000,1000
15,1616,ZEE 5,Type 1000 in quantity  100% Replacement Guarantee  Classicsmm exclusive  after ordering whatsapp on 8279599630 along with your order id.  ,                                                                                         ₹100.00                                         ,1000,1000
16,1617,HBO,Type 1000 in quantity  100% Replacement Guarantee  Classicsmm exclusive  after ordering whatsapp on 8376080876 along with your order id.  ,                                                                                         ₹100.00                                         ,1000,1000
17,1618,HULU (cracked),Type 1000 in quantity  100% Replacement Guarantee  Classicsmm exclusive  after ordering whatsapp on 8376080876 along with your order id.  ,                                                                                         ₹220.00                                         ,1000,1000
18,1689,Hotstar Premium,after ordering message on whatsapp with ur order id   8279599630,                                                                                         ₹100.00                                         ,1000,1000
19,1838,YAHOO,Type 1000 in quantity  You have to give us story of 300 words we will publish it  for order pls message on whatsapp at 8279599630,                                                                                         ₹5000.00                                         ,1000,1000
20,1839,Dailyhunt + Newstrack,Type 1000 in quantity  u have to give us story of 300 words  we will publish it  for order pls message on whatsapp at 8279599630,                                                                                         ₹5000.00                                         ,1000,1000
21,1840,Indiansaga + Dailyhunt,Type 1000 in quantity  u have to give us story of 300 words  we will publish it  for order pls message on whatsapp at 8279599630,                                                                                         ₹5000.00                                         ,1000,1000
22,1841,Hindustan Times,Type 1000 in quantity  u have to give us story of 300 words  we will publish it  for order pls message on whatsapp at 8279599630,                                                                                         ₹18000.00                                         ,1000,1000
23,1842,News 18,Type 1000 in quantity  u have to give us story of 300 words  we will publish it  for order pls message on whatsapp at 8279599630,                                                                                         ₹18000.00                                         ,1000,1000
24,1843,Forbes,Type 1000 in quantity  u have to give us story of 300 words  we will publish it  for order pls message on whatsapp at 8279599630,                                                                                         ₹45000.00                                         ,1000,1000
25,1927,Buy Pubg UC - 8 UC,In quantity Option enter 1000 quantity.    Enter Only Character Id In Link Option.  Order will Be complete In 24  Hours.        Go to profile in pubg mobile and copy your pubg character Id .  Ex: 5630036882    You will Receive Total 8 UC. ,                                                                                         ₹20.00                                         ,1000,1000
26,1928,♛ Buy Pubg UC - 35UC,Enter Only Character Id In Link Option.  Order will Be complete In 6-12 Hour.    In quantity Option enter 1000 quantity.    Go to profile in pubg mobile and copy your pubg character Id .  Ex: 5630036882    You will Receive Total 35 UC. ,                                                                                         ₹70.00                                         ,1000,1000
27,1929,♛ Buy Pubg UC - 75UC,Enter Only Character Id In Link Option.  Order will Be complete In 12-24 Hour.    In quantity Option enter 1000 quantity.    Go to profile in pubg mobile and copy your pubg character Id .  Ex: 5630036882    You will Receive Total 75 UC.,                                                                                         ₹130.00                                         ,1000,1000
28,1930,♛ Buy Pubg UC - 220UC,Enter Only Character Id In Link Option.  Order will Be complete In 12-24 Hour.    In quantity Option enter 1000 quantity.    Go to profile in pubg mobile and copy your pubg character Id .  Ex: 5630036882    You will Receive Total 220 UC.,                                                                                         ₹350.00                                         ,1000,1000
29,1931,♛ Buy Pubg UC - 770UC,Enter Only Character Id In Link Option.  Order will Be complete In 12-24 Hour.    In quantity Option enter 1000 quantity.    Go to profile in pubg mobile and copy your pubg character Id .  Ex: 5630036882    You will Receive Total 770 UC.,                                                                                         ₹1300.00                                         ,1000,1000
30,1920,Instagram Indian Followers - No Refill - Non Drop,Indian names and Indian Profiles | Non Drop but If drops No refill (0.00001 % chances),                                                                                         ₹395.00                                         ,10,1000
31,1875,Instagram Followers - Min 10 | Max 10K |  ( Avatar )⚡,Daily Speed 10k a Day Start 0-1 Hour Followers can drop in any Ratio,                                                                                         ₹45.50                                         ,10,10000
32,1951,Instagram Followers [LQ] [No Refill]  [ 2-3k/Day] with cancel button,Minimum: 100 Followers Maximum: 15000 Followers Guarantee: No Guarantee Start: Instant to 1 Hrs Make sure  your ig profile has a picture. Note: Any time it can be drop  even after 1 hrs or few hrs or 1 days. so order at your own risk. We will not accept any complaint,                                                                                         ₹39.13                                         ,10,15000
