,ID,Name,Description,PricePer1000,Min,Max
0,2084,Netflix Pack of 5 (1 screen accounts),TYPE YOUR WHATSAPP NUMBER IN LINK SECTION  TYPE 1000 IN QUANTITY  after ordering whatsapp on 9205129742 along with your order id  user cannot change anything in this account  if user changes  acount will be recovered without any notice neither refund nor replacement will be provided in such cases  ,                                                                                         ₹350.00                                         ,1000,1000
1,2085,Netflix Pack of 10 (1 screen accounts),TYPE YOUR WHATSAPP NUMBER IN LINK SECTION  TYPE 1000 IN QUANTITY  after ordering whatsapp on 9205129742 along with your order id  user cannot change anything in this account  if user changes  acount will be recovered without any notice neither refund nor replacement will be provided in such cases  ,                                                                                         ₹600.00                                         ,1000,1000
2,2086,Netflix Pack of 4 (2 screen accounts),TYPE YOUR WHATSAPP NUMBER IN LINK SECTION  TYPE 1000 IN QUANTITY  after ordering whatsapp on 9205129742 along with your order id  user cannot change anything in this account  if user changes  acount will be recovered without any notice neither refund nor replacement will be provided in such cases  ,                                                                                         ₹620.00                                         ,1000,1000
3,2087,Netflix pack of 5 (4 screen private account),TYPE YOUR WHATSAPP NUMBER IN LINK SECTION  TYPE 1000 IN QUANTITY  after ordering whatsapp on 9205129742 along with your order id  you can change your password  ,                                                                                         ₹950.00                                         ,1000,1000
4,2050,VOOT SELECT,TYPE YOUR WHATSAPP NUMBER IN LINK SECTION  TYPE 1000 IN QUANTITY    AFTER ORDERING WHATSAPP ON 9205129742 ALONG WITH YOUR ORDER ID  YOUR ACCOUNT WILL BE DELIVERED THERE   (NOTE: NO WHATSAPP CALL),                                                                                         ₹35.00                                         ,1000,1000
5,2051,ZEE 5,TYPE YOUR WHATSAPP NUMBER IN LINK SECTION  TYPE 1000 IN QUANTITY    AFTER ORDERING WHATSAPP ON 9205129742 ALONG WITH YOUR ORDER ID  YOUR ACCOUNT WILL BE DELIVERED THERE   (NOTE: NO WHATSAPP CALL),                                                                                         ₹40.00                                         ,1000,1000
6,2052,Alt Balaji,TYPE YOUR WHATSAPP NUMBER IN LINK SECTION  TYPE 1000 IN QUANTITY    AFTER ORDERING WHATSAPP ON 9205129742 ALONG WITH YOUR ORDER ID  YOUR ACCOUNT WILL BE DELIVERED THERE   (NOTE: NO WHATSAPP CALL),                                                                                         ₹40.00                                         ,1000,1000
7,2053,Spotify (cracked),TYPE YOUR WHATSAPP NUMBER IN LINK SECTION  TYPE 1000 IN QUANTITY    AFTER ORDERING WHATSAPP ON 9205129742 ALONG WITH YOUR ORDER ID  YOUR ACCOUNT WILL BE DELIVERED THERE   (NOTE: NO WHATSAPP CALL),                                                                                         ₹40.00                                         ,1000,1000
8,1993,Netflix 1 screen ,user cannot change anything in this account  if user changes  acount will be recovered without any notice neither refund nor replacement will be provided in such cases  TYPE YOUR WHATSAPP NUMBER IN LINK SECTION  TYPE 1000 IN QUANTITY    AFTER ORDERING WHATSAPP ON 9205129742 ALONG WITH YOUR ORDER ID  YOUR ACCOUNT WILL BE DELIVERED THERE   (NOTE: NO WHATSAPP CALL),                                                                                         ₹70.00                                         ,1000,1000
9,1994,Netflix 2 screen ,user cannot change anything in this account  if user changes  acount will be recovered without any notice neither refund nor replacement will be provided in such cases    TYPE YOUR WHATSAPP NUMBER IN LINK SECTION  TYPE 1000 IN QUANTITY    AFTER ORDERING WHATSAPP ON 9205129742 ALONG WITH YOUR ORDER ID  YOUR ACCOUNT WILL BE DELIVERED THERE   (NOTE: NO WHATSAPP CALL),                                                                                         ₹120.00                                         ,1000,1000
10,1995,Netflix 4 screen  (private account) UHD,TYPE YOUR WHATSAPP NUMBER IN LINK SECTION  TYPE 1000 IN QUANTITY FOR 1 ACCOUNT  OR MULTIPLE OF 1000 FOR MORE    AFTER ORDERING WHATSAPP ON 9205129742 ALONG WITH YOUR ORDER ID  YOUR ACCOUNT WILL BE DELIVERED THERE   (NOTE: NO WHATSAPP CALL),                                                                                         ₹185.00                                         ,1000,20000
11,1996,Amazon Prime Video,TYPE YOUR WHATSAPP NUMBER IN LINK SECTION  TYPE 1000 IN QUANTITY    AFTER ORDERING WHATSAPP ON 9205129742 ALONG WITH YOUR ORDER ID  YOUR ACCOUNT WILL BE DELIVERED THERE   (NOTE: NO WHATSAPP CALL),                                                                                         ₹35.00                                         ,1000,1000
12,1997,Hotstar Plus Disney Premium,TYPE YOUR WHATSAPP NUMBER IN LINK SECTION  TYPE 1000 IN QUANTITY    AFTER ORDERING WHATSAPP ON 9205129742 ALONG WITH YOUR ORDER ID  YOUR ACCOUNT WILL BE DELIVERED THERE   (NOTE: NO WHATSAPP CALL),                                                                                         ₹40.00                                         ,1000,1000
13,1998,Hotstar VIP,TYPE YOUR WHATSAPP NUMBER IN LINK SECTION  TYPE 1000 IN QUANTITY    AFTER ORDERING WHATSAPP ON 9205129742 ALONG WITH YOUR ORDER ID  YOUR ACCOUNT WILL BE DELIVERED THERE   (NOTE: NO WHATSAPP CALL),                                                                                         ₹40.00                                         ,1000,1000
14,2054,VOOT SELECT,TYPE YOUR WHATSAPP NUMBER IN LINK SECTION  TYPE 1000 IN QUANTITY    AFTER ORDERING WHATSAPP ON 9205129742 ALONG WITH YOUR ORDER ID  YOUR ACCOUNT WILL BE DELIVERED THERE   (NOTE: NO WHATSAPP CALL),                                                                                         ₹100.00                                         ,1000,1000
15,2055,ZEE 5,TYPE YOUR WHATSAPP NUMBER IN LINK SECTION  TYPE 1000 IN QUANTITY    AFTER ORDERING WHATSAPP ON 9205129742 ALONG WITH YOUR ORDER ID  YOUR ACCOUNT WILL BE DELIVERED THERE   (NOTE: NO WHATSAPP CALL),                                                                                         ₹100.00                                         ,1000,1000
16,2056,Alt Balaji,TYPE YOUR WHATSAPP NUMBER IN LINK SECTION  TYPE 1000 IN QUANTITY    AFTER ORDERING WHATSAPP ON 9205129742 ALONG WITH YOUR ORDER ID  YOUR ACCOUNT WILL BE DELIVERED THERE   (NOTE: NO WHATSAPP CALL),                                                                                         ₹100.00                                         ,1000,1000
17,2057,Spotify (cracked),TYPE YOUR WHATSAPP NUMBER IN LINK SECTION  TYPE 1000 IN QUANTITY    AFTER ORDERING WHATSAPP ON 9205129742 ALONG WITH YOUR ORDER ID  YOUR ACCOUNT WILL BE DELIVERED THERE   (NOTE: NO WHATSAPP CALL),                                                                                         ₹100.00                                         ,1000,1000
18,1999,Netflix yearly account (4 screens UHD),TYPE YOUR WHATSAPP NUMBER IN LINK SECTION  TYPE 1000 IN QUANTITY    AFTER ORDERING WHATSAPP ON 9205129742 ALONG WITH YOUR ORDER ID  YOUR ACCOUNT WILL BE DELIVERED THERE   (NOTE: NO WHATSAPP CALL),                                                                                         ₹1200.00                                         ,1000,1000
19,2000,Amazon Prime Video,TYPE YOUR WHATSAPP NUMBER IN LINK SECTION  TYPE 1000 IN QUANTITY    AFTER ORDERING WHATSAPP ON 9205129742 ALONG WITH YOUR ORDER ID  YOUR ACCOUNT WILL BE DELIVERED THERE   (NOTE: NO WHATSAPP CALL),                                                                                         ₹200.00                                         ,1000,1000
20,2001,Hotstar Plus Disney Premium,TYPE YOUR WHATSAPP NUMBER IN LINK SECTION  TYPE 1000 IN QUANTITY    AFTER ORDERING WHATSAPP ON 9205129742 ALONG WITH YOUR ORDER ID  YOUR ACCOUNT WILL BE DELIVERED THERE   (NOTE: NO WHATSAPP CALL),                                                                                         ₹180.00                                         ,1000,1000
21,2089,Tik Tok Video Views [ Trending + Viral Views] [ Speed 30-50k/hour],Thiese views have different algorithm and help in making the video viral and trending  Benefits of views: You may gain organic likes followers and video can go viral if the content is good Lifetime Guarantee,                                                                                         ₹15.00                                         ,500,500000
22,2090,Tiktok Likes - Max 10k - 1k-5k/day - Real Looking,Put video link No Refill Max 10k 1k-5k/day Speed can be slow because it is cheap service,                                                                                         ₹100.00                                         ,100,10000
23,2097,Tik Tok - Comments - Emoji - - Instant Start,put video link 500-1k/day No refill / No refund ,                                                                                         ₹750.00                                         ,50,10000
24,2048,Youtube Likes Min 20 Max 100K - Instant Start - 1 HOUR,Youtube Likes ( Best Price in Market ) Min 20 And Max 15k Speed 200-400 Per Day Refill: 30 Days Start Time 0-2 hours,                                                                                         ₹280.00                                         ,20,100000
25,2092,Instagram Followers - Max 50k [ 1k-2k/day] [ MQ] [30 Days Refill ] [ CHEAPEST REFILL],30 Days Refill Refill button enabled Quality of accounts:https://gyazo.com/b8e50be12e26dd993c5824ea12edf5e7 https://gyazo.com/918aa7135698cda300a65e6b8b63a619 Medium Quality,                                                                                         ₹200.00                                         ,50,50000
26,2107,Instagram Ads Followers [ Real] [ Giveaway Followers - Turkey] [ 1k Package],Start time 24-48 hours 100%Real We make ads on instagram pages and drive followers speed 1k/day after start No Refill if drops  they are real user and can unfollow,                                                                                         ₹294.00                                         ,1000,1000
27,2108,Instagram Ads Followers [ Real] [ Giveaway Followers - Turkey] [ 2k Package],Start time 24-48 hours 100%Real We make ads on instagram pages and drive followers speed 1k/day after start No Refill if drops  they are real user and can unfollow,                                                                                         ₹336.00                                         ,2000,2000
28,2109,Instagram Ad Followers [ADS - REAL ACTIVE] [ Engaging Followers],Start time - 0-48 hours Speed 2k-3k /Day once started Followers come from Ads  and if they unfollow we are not responsible No Refill - 100% Real They also view stories and like photos,                                                                                         ₹483.00                                         ,5000,20000
29,2110,Instagram Followers From [ARAB ADS - REAL ACTIVE] [ Engaging Followers ],Start time - 0-48 hours Speed 2k-3k /Day once started Followers come from Ads  and if they unfollow we are not responsible No Refill - 100% Real They also view stories and like photos,                                                                                         ₹483.00                                         ,5000,20000
30,2038,Elite Royale Pass Pack [Season 12] - [Free 70 Uc],Instant Delivery - 12H 100% Safe No hack Put your character ID in the Link box  example: https://prnt.sc/q1whwt,                                                                                         ₹798.00                                         ,1000,1000
31,2039,Elite Plus Royal Pass Pack (Season 12) - [Free Classic Create Coupon],Instant Delivery - 12H 100% Safe No hack Put your character ID in the Link box  example: https://prnt.sc/q1whwt,                                                                                         ₹2016.00                                         ,1000,1000
32,2040,PUBG UC Cash - 16UC,type 1000 in quantity  Instant Delivery - 12H 100% Safe No hack Put your character ID in the Link box  example: https://prnt.sc/q1whwt,                                                                                         ₹25.00                                         ,1000,1000
33,2041,PUBG UC Cash - 32UC,type 1000 in quantity  Instant Delivery - 12H 100% Safe No hack Put your character ID in the Link box  example: https://prnt.sc/q1whwt,                                                                                         ₹42.00                                         ,1000,1000
34,2042,PUBG UC Cash - 63UC,type 1000 in quantity  Instant Delivery - 12H 100% Safe No hack Put your character ID in the Link box  example: https://prnt.sc/q1whwt,                                                                                         ₹75.00                                         ,1000,1000
35,2043,PUBG UC Cash - 340UC,type 1000 in quantity  Instant Delivery - 12H 100% Safe No hack Put your character ID in the Link box  example: https://prnt.sc/q1whwt,                                                                                         ₹340.00                                         ,1000,1000
36,2044,PUBG UC Cash - 690 UC,type 1000 in quantity  Instant Delivery - 12H 100% Safe No hack Put your character ID in the Link box  example: https://prnt.sc/q1whwt,                                                                                         ₹680.00                                         ,1000,1000
37,2045,PUBG UC Cash - 1875UC,Instant Delivery - 12H 100% Safe No hack Put your character ID in the Link box  example: https://prnt.sc/q1whwt,                                                                                         ₹1700.00                                         ,1000,1000
38,2075,REAL AND LESS DROP Instagram Followers S31 (50/10k) NR (Real Majority) 500/day,0-1h | 500-1000 PER DAY | Less Drop  ORGANIC SPEED,                                                                                         ₹160.00                                         ,50,10000
39,2012,Instagram followers cheapest ,no refill  no guarantee of dropping..  fast,                                                                                         ₹29.00                                         ,50,10000
40,2021,Instagram Followers [50K] [1k-2k/day][R30] [ Speed for now 500/day],Max 50k  Refill 30 days  Start instant - 12 hours  Speed - 1k-3k/Day,                                                                                         ₹300.00                                         ,100,50000
41,2091,🔥 Instagram Followers | 30% - 60% 🇮🇳 हिंदुस्तानी,0-6 hours start,                                                                                         ₹275.00                                         ,10,2000
42,2023,🇸🇦Instagram Followers [100K] [ARAB - خليجي حقيقي متفاعلين] ⚡️💧⭐,Start Time & Speed: Refer to monitor.justanotherpanel.com Quality: Specs: Username only Refill: NO REFILL  NO REFUND  order under your own consent.,                                                                                         ₹504.00                                         ,2000,100000
43,2024,Instagram Followers [3K] [BRAZIL] [R30] [48H - 2K/DAY] ♻,Start Time & Speed: 24-48h to Start - 1-2k day Quality: High Quality Refill: 30 Days,                                                                                         ₹897.12                                         ,100,5000
