,ID,Name,Description,Price Per 1000,Min,Max
0,2050,VOOT SELECT,TYPE YOUR WHATSAPP NUMBER IN LINK SECTION  TYPE 1000 IN QUANTITY    AFTER ORDERING WHATSAPP ON 9205129742 ALONG WITH YOUR ORDER ID  YOUR ACCOUNT WILL BE DELIVERED THERE   (NOTE: NO WHATSAPP CALL),                                                                                         ₹35.00                                         ,1000,1000
1,2051,ZEE 5,TYPE YOUR WHATSAPP NUMBER IN LINK SECTION  TYPE 1000 IN QUANTITY    AFTER ORDERING WHATSAPP ON 9205129742 ALONG WITH YOUR ORDER ID  YOUR ACCOUNT WILL BE DELIVERED THERE   (NOTE: NO WHATSAPP CALL),                                                                                         ₹40.00                                         ,1000,1000
2,2052,Alt Balaji,TYPE YOUR WHATSAPP NUMBER IN LINK SECTION  TYPE 1000 IN QUANTITY    AFTER ORDERING WHATSAPP ON 9205129742 ALONG WITH YOUR ORDER ID  YOUR ACCOUNT WILL BE DELIVERED THERE   (NOTE: NO WHATSAPP CALL),                                                                                         ₹40.00                                         ,1000,1000
3,2053,Spotify (cracked),TYPE YOUR WHATSAPP NUMBER IN LINK SECTION  TYPE 1000 IN QUANTITY    AFTER ORDERING WHATSAPP ON 9205129742 ALONG WITH YOUR ORDER ID  YOUR ACCOUNT WILL BE DELIVERED THERE   (NOTE: NO WHATSAPP CALL),                                                                                         ₹40.00                                         ,1000,1000
4,1993,Netflix 1 screen ,user cannot change anything in this account  TYPE YOUR WHATSAPP NUMBER IN LINK SECTION  TYPE 1000 IN QUANTITY    AFTER ORDERING WHATSAPP ON 9205129742 ALONG WITH YOUR ORDER ID  YOUR ACCOUNT WILL BE DELIVERED THERE   (NOTE: NO WHATSAPP CALL),                                                                                         ₹100.00                                         ,1000,1000
5,1994,Netflix 2 screen ,user cannot change anything in this account    TYPE YOUR WHATSAPP NUMBER IN LINK SECTION  TYPE 1000 IN QUANTITY    AFTER ORDERING WHATSAPP ON 9205129742 ALONG WITH YOUR ORDER ID  YOUR ACCOUNT WILL BE DELIVERED THERE   (NOTE: NO WHATSAPP CALL),                                                                                         ₹150.00                                         ,1000,1000
6,1995,Netflix 4 screen  (private account) UHD,TYPE YOUR WHATSAPP NUMBER IN LINK SECTION  TYPE 1000 IN QUANTITY FOR 1 ACCOUNT  OR MULTIPLE OF 1000 FOR MORE    AFTER ORDERING WHATSAPP ON 9205129742 ALONG WITH YOUR ORDER ID  YOUR ACCOUNT WILL BE DELIVERED THERE   (NOTE: NO WHATSAPP CALL),                                                                                         ₹200.00                                         ,1000,20000
7,1996,Amazon Prime Video,TYPE YOUR WHATSAPP NUMBER IN LINK SECTION  TYPE 1000 IN QUANTITY    AFTER ORDERING WHATSAPP ON 9205129742 ALONG WITH YOUR ORDER ID  YOUR ACCOUNT WILL BE DELIVERED THERE   (NOTE: NO WHATSAPP CALL),                                                                                         ₹35.00                                         ,1000,1000
8,1997,Hotstar Premium,TYPE YOUR WHATSAPP NUMBER IN LINK SECTION  TYPE 1000 IN QUANTITY    AFTER ORDERING WHATSAPP ON 9205129742 ALONG WITH YOUR ORDER ID  YOUR ACCOUNT WILL BE DELIVERED THERE   (NOTE: NO WHATSAPP CALL),                                                                                         ₹40.00                                         ,1000,1000
9,1998,Hotstar VIP,TYPE YOUR WHATSAPP NUMBER IN LINK SECTION  TYPE 1000 IN QUANTITY    AFTER ORDERING WHATSAPP ON 9205129742 ALONG WITH YOUR ORDER ID  YOUR ACCOUNT WILL BE DELIVERED THERE   (NOTE: NO WHATSAPP CALL),                                                                                         ₹40.00                                         ,1000,1000
10,2054,VOOT SELECT,TYPE YOUR WHATSAPP NUMBER IN LINK SECTION  TYPE 1000 IN QUANTITY    AFTER ORDERING WHATSAPP ON 9205129742 ALONG WITH YOUR ORDER ID  YOUR ACCOUNT WILL BE DELIVERED THERE   (NOTE: NO WHATSAPP CALL),                                                                                         ₹100.00                                         ,1000,1000
11,2055,ZEE 5,TYPE YOUR WHATSAPP NUMBER IN LINK SECTION  TYPE 1000 IN QUANTITY    AFTER ORDERING WHATSAPP ON 9205129742 ALONG WITH YOUR ORDER ID  YOUR ACCOUNT WILL BE DELIVERED THERE   (NOTE: NO WHATSAPP CALL),                                                                                         ₹100.00                                         ,1000,1000
12,2056,Alt Balaji,TYPE YOUR WHATSAPP NUMBER IN LINK SECTION  TYPE 1000 IN QUANTITY    AFTER ORDERING WHATSAPP ON 9205129742 ALONG WITH YOUR ORDER ID  YOUR ACCOUNT WILL BE DELIVERED THERE   (NOTE: NO WHATSAPP CALL),                                                                                         ₹100.00                                         ,1000,1000
13,2057,Spotify (cracked),TYPE YOUR WHATSAPP NUMBER IN LINK SECTION  TYPE 1000 IN QUANTITY    AFTER ORDERING WHATSAPP ON 9205129742 ALONG WITH YOUR ORDER ID  YOUR ACCOUNT WILL BE DELIVERED THERE   (NOTE: NO WHATSAPP CALL),                                                                                         ₹100.00                                         ,1000,1000
14,1999,Netflix yearly account (4 screens UHD),TYPE YOUR WHATSAPP NUMBER IN LINK SECTION  TYPE 1000 IN QUANTITY    AFTER ORDERING WHATSAPP ON 9205129742 ALONG WITH YOUR ORDER ID  YOUR ACCOUNT WILL BE DELIVERED THERE   (NOTE: NO WHATSAPP CALL),                                                                                         ₹1200.00                                         ,1000,1000
15,2000,Amazon Prime Video,TYPE YOUR WHATSAPP NUMBER IN LINK SECTION  TYPE 1000 IN QUANTITY    AFTER ORDERING WHATSAPP ON 9205129742 ALONG WITH YOUR ORDER ID  YOUR ACCOUNT WILL BE DELIVERED THERE   (NOTE: NO WHATSAPP CALL),                                                                                         ₹200.00                                         ,1000,1000
16,2001,Hotstar Premium,TYPE YOUR WHATSAPP NUMBER IN LINK SECTION  TYPE 1000 IN QUANTITY    AFTER ORDERING WHATSAPP ON 9205129742 ALONG WITH YOUR ORDER ID  YOUR ACCOUNT WILL BE DELIVERED THERE   (NOTE: NO WHATSAPP CALL),                                                                                         ₹100.00                                         ,1000,1000
