,ID,Service,Rateper1000,Minorder,Maxorder,Averagetime,Description
0,1065,YOUTUBE VIEWS LIFETIME GUARANTEE 20-30k/ - Limited OFFER,0.80,1000,10000000,5 hours and 52 minutes,10-20k/daylifetime guarantee Limited time serviceStarts Instant -3 hours
1,123,YOUTUBE VIEWS - 1M-2M/Day - Lifetime Guarantee - 🔥⚡🔥⚡,1.05,1000,100000000,Not enough data,Lifetime Guarantee Speed 1M-2M/day [ If you have bigger order than this we can speed up]Non Drop - Auto Refill also [ Incase of 1-2% Drop]No OverflowTrending ServiceRetention Random
2,1037,Youtube Views - 20k-50K- Lifetime Guarantee - EXCLUSIVE 🔥🔥🔥,0.99,1000,1000000,2 hours and 24 minutes,Speed: 20k- 50k/dayGuarantee : Lifetime Refill: Auto Refill [ No Drop ]Retention - 40 seconds to 4 minutes
3,31,Youtube Views [ 200k-500k/day ] [ NO DROP ] [ Life Time Guaranteed ] INSTANT🔥🔥,1.10,500,2147483647,Not enough data,100k-200k/day40 sec - 4 minutesExternalLifetime Guaranteed
4,731,Youtube Views ( Instant Start ) ( Life Time Guarantee ) ( 2k-5k/Day )🔥⚡,0.95,500,100000000,6 hours and 51 minutes,Random Retentionlifetime guaranteespeed 2k-5k/day
5,909,Youtube Subscribers [ R30 ] Max 50K [1k/day] [ 0-6 hours start][ 5.8 $/K],5.80,50,50000,4 hours and 34 minutes,30 days refillspeed 1k-3k/day0-12 hour startrefill button enabledNo refund only refill10-20% Drop - But Refill Starts Instant - Drop rate upto 50% also seen in some cases.
6,11,Youtube - Views [ 5-10k/day] [ HR VIEWS ] [ 5-20 Minutes Retention ],1.25,500,1000000,9 hours and 14 minutes,Youtube Views High RetentionRetention : 5-20 MinutesGuarantee : Lifetime GuaranteeSpeed - 5k-10k/day [ If overloaded 3k-5k/day]
7,1031,Instagram Followers ( Min 20 and Max 5k ) ( 100% Real Followers ),7.00,20,5000,294 hours and 52 minutes,Instagram 100% Real FollowersInstant StartBest Quality in MarketAll-Age Account0% Bot Account30 Days Refill( This is 100% Real Followers Drop Ratio is less then 2-3% if any old Followers Drop we will not cover any refill )Quality :https://gyazo.com/73486cfbdfc6a24526842a9c6027a155
8,668,Youtube Adwords view [500k/day-1Million]  [Fast Approval ],0.95,100000,1000000,49 minutes,Approval Average Time 6-12 hoursIn some cases 24 hoursSpeed 500k-1M/day
9,1035,Instagram Likes [Max 3k] [ Real+Bot Mix] [ Mix of Indian  Japan  Indonesia] [Very Fast],0.54,50,1500,26 hours and 46 minutes,Quality of account:https://gyazo.com/d85853d8ab92c8121d8e4ead79096365Mix of Real and Bot [ few % can drop]People from Indonesia India China Thailand like [ This is mix likes not targeted likes]No Refill No refund
10,71,Instagram Followers - Max 50k [ 1k-2k/day] [ MQ] [30 Days Refill ] [ CHEAPEST REFILL],2.15,100,50000,8 hours and 59 minutes,30 Days RefillRefill button enabledQuality of accounts:https://gyazo.com/b8e50be12e26dd993c5824ea12edf5e7https://gyazo.com/918aa7135698cda300a65e6b8b63a619Medium Quality
