,ID,Service,Price/1000,Min,Max,Description
0,375,HQ Instagram Likes (15 Minutes start  up to 10K/Daily  Real Profiles),4.1,20,80000, More 
1,369,Instagram Likes New [5k] - Good Quality - Update 03/2020,1.3,10,5000, More Launch: Within 5-10 minutes Speed: 5-50 per minute Good Quality: 4+ 
2,344,Instagram Likes [MIX Real accounts]  - Update 03/2020,3.5,50,1000, More - Start time: 1-15 Min - Speed: 50-200 per Min - Lifetime Guarantee - Min = 50 - Max = 1000 Speed: 50-200 per minute - Good quality quick start! Stable service! Various real live accounts with subscribers avatars and photos. 
3,355,Instagram Likes [EU accounts] - Update 03/2020,1.2,20,5000, More - Start time: 1-10 Min - Speed: 10 per Min - Lifetime Guarantee - Min = 10 - Max = 5000 
4,368,Instagram Followers New [10k] - Perfect Quality - Update 03/2020,6,40,20000, More Start: 0-3H Speed: 1-2K Daily Drop Ratio: 5-15% drop 
5,374,HQ Instagram Followers (30 Minutes start  up to 10K/Daily),7.4,50,30000, More 
6,346,Instagram Followers [SLOW  quality*****],6.7,50,1000, More - Start time: 1-3 h - Speed: VERY Slow (up to 100 per day) - 30 Day Guarantee - Min = 50 - Max = 500 Low percentage of unsubscribes after execution - can be re-ordered 
7,354,NEW - Instagram Followers [Refill 15] 20K quality ****,6.8,100,40000, More - Start time: Instant to 12h - 12 Day Guarantee - Min = 100 - Max = 20000 
8,365,Instagram Story Views [30K] [INSTANT - 30K/Day],0.6,100,30000, More Start Time: Instant - 1 hours Speed: 10K/ day Refill: No refill / No refund Specs: Send Username Only 
9,256,Instagram Views - JAPAN,0.3,100,55000, More - Start time: Instant - Speed: 20K - 30K per Day - Min = 100 - Max = 55000 
10,257,Instagram Views - DUBAI,0.3,100,65000, More - Start time: Instant - Speed: 20K - 30K per Day - Min = 100 - Max = 65000 
11,243,Instagram Views - Quality ★★★★★,0.1,100,500000, More - Start time: Instant Min = 100 Max = 500 000 
12,245,Instagram Views + Impressions + Profile Visits,0.2,20,5000000, More - Start time: Instant - Speed: Up to 300K Per Hour - Impressions = Randomly Selected - Profile Visits = 20% to 30% of Ordered Amount - Min = 20 - Max = 5M 
