,ID,Service,Rateper1000,Minorder,Maxorder,Averagetime,Description
0,656,Instagram Likes [100% Real Accounts⚡⚡] - [Speed 3K / Hour],0.57,20,50000,6 hours and 54 minutes,Non Drop LikesSpeed: 1-3K / Hour
1,654,Instagram Likes [Real Likes] [2K / Day] [10K],0.65,100,10000,5 hours and 37 minutes,Non Drop Likes.
2,630,Instagram Followers | LESS DROP | Max 5K 🔥🔥,1.90,100,5000,20 hours and 53 minutes,Always Very Less Drop!!No Refill / No RefundMin 100Max 5000Start: 0 - 10 Mins
3,692,Instagram Followers [Refill 30] [0 - 5 Hours] [2K / Day] (Max 20k),4.00,20,20000,67 hours and 20 minutes,
4,320,Instagram Followers [Guaranteed] [FASTEST] [Refill 30] [50K],6.50,50,50000,51 hours and 43 minutes,Start: InstantRefill: 30 DaysRefill Button Enabled.
5,18,Instagram Likes (Instant) [5K / Hour] [30K] 🚀,0.29,20,10000,5 hours and 14 minutes,High drop
6,476,Instagram Likes (SUPER FAST) (30K / Hour) ⚡️🔥🔥{0.8$},0.80,10,30000,59 minutes,Always InstantSpeed: 30K / Hour
7,661,Facebook Post Likes (Instanat Start) [Max 10K],3.10,50,10000,1 hour,
8,535,Youtube Views [20K / Day] [ Retention 30 Sec - 3 Mins] [Lifetime Guaranteed],1.20,1000,1000000,Not enough data,Min : 30 Sec to 3 Mins RententionLifetime Guarantee!
9,669,Youtube Views [10K / Day Speed] - [Lifetime Guarantee] - Retention Changed,1.25,1000,1000000,8 hours and 21 minutes,Retention Random5 Sec to 5 Mins
10,274,Youtube Views [20 - 30K / Day] [Lifetime Guaranteed],1.40,1000,1000000,2 hours and 36 minutes,
11,668,Tiktok - Views - [ SUPER INSTANT] - [ SPEED 1M / HOUR],0.007,500,1000000000,39 minutes,
12,658,Tiktok - Likes - [5K / Day Speed] [Max 10K],1.14,100,10000,1 hour and 56 minutes,No RefillSpeed : 5K / DayMin 100Max 10000
13,659,Tiktok - Views - Instant Start | 500K / Day | [Max 10M],0.004,500,1000000,Not enough data,
14,376,Instagram Likes [MAX 30K] SUPER FAST⚡️⚡️⚡️⚡️⚡️,1.26,20,100000,14 hours and 19 minutes,Fastest Likes in Market
15,486,Instagram Likes [20K / Hour] [Max 30K] 🔥,1.60,20,30000,6 hours and 14 minutes,Instant StartVery FastMin 10 Max 10k
16,641,Netlfix Single Account [Ultra HD] [4 Screens],3.00,1,1,Not enough data,"Enter ""Netflix"" in Link. You will get the Account Information Via TICKETS with in 12 Hours.Replacement will be NOT be done if Password Changed.1) A one-month subscription after which the account is closed and another account must be requested2) Supports 4 screens3) Ultra HD Supports PlaystationXboxSmart TVSmart phoneBaptismsHow to Use: After receiving the subscription link enter itYou will find account information in itIn the event that the account is closed or any problem occurs the Refill button will activate with the same link every 24 hoursClick the Refill button the system will give you a new account after an hour (usually within 5 minutes)***Terms And Conditions for Replacement***Do not change the account passwordDo not change the account languageYou can change the subtitles after playing the movieYou can run the account on any device you ownYou can request Refill for every 24 hours via unique link given to you"
17,611,Instagram TV Views [Instant Start] [10M],0.025,200,100000000,36 minutes,
18,156,Instagram Video Views [MAX 10M],0.008,200,100000000,2 hours and 50 minutes,No Refill / No Refund even if not delivered
19,502,Instagram Story Views [FAST] [LQ] [Username Only] [ All Story ] [ 10K ],0.053,100,50000,4 hours and 10 minutes,
20,98,Instagram All Story Views [WORKING] (Max 100K),0.13,100,100000,52 minutes,Username OnlyLow QualityStory Views with Low Quality Profiles.
21,391,Instagram Likes - Real Account Likes [POWER LIKES] - Instant Start (HQ) - [50K / DAY]⚡️⚡️⚡️,1.90,20,50000,4 hours and 50 minutes,Speed: 10K / DayProfiles with 5k - 200K Followers!Real AccountsIncrease the Chances of exploring.Min 20 Max 10000Non Drop
22,460,Instagram Likes [100% Real Accounts⚡⚡] - [Speed 3K / Hour],0.60,50,50000,11 hours and 23 minutes,Real Account LikesSpeed 3K / HourCountries from Asia!Indians Mixed.Non Drop
23,711,Instagram Likes [Instant Start] [ Non Drop Likes ] [3K / Hour],1.20,100,7000,1 hour and 17 minutes,Country : Iran and MixedNon Drop Likes
24,314,Instagram Likes [Real] [6K / Day] [Max 10K],1.00,100,10000,10 hours,Start : 0 - 10 MinsSpeed : 1-2K / HourMin : 100Max : 10000Non Drop
25,351,Instagram Likes [1k / Day] + Refill Button 15 Days,1.00,10,5000,6 hours and 42 minutes,Start time: 0-1hSpeed: up to 200-1000 per dayDrop rate is ~10%Good quality accountsRefill button enabled15 days refill
26,172,Instagarm Likes (Instant Start ) [Real Profile Likes] [20K],0.90,50,20000,12 hours and 12 minutes,Real LikesMixed Indians and Usa Profiles!Instant Start
27,269,Instagram Likes [ SUPER FAST ] - [ MAX 30K ] 🔥,0.82,20,30000,8 hours and 52 minutes,
28,534,Instagram Likes  [Instant Start] [10k / Hour] [50K] [DROPPING],0.30,20,10000,19 hours and 34 minutes,50% drop
29,203,Instagram Likes - [SUPER FAST] - [MAX 30K] BEST,1.30,20,30000,12 hours and 37 minutes,
30,382,Instagram Likes [ SUPER INSTANT ] [MAX 30K]🔥🔥,1.75,10,30000,5 hours and 38 minutes,
31,401,Instagram Likes (Instant Start) (With Profile Pics) [20K] SLOW,1.30,20,20000,6 hours and 11 minutes,
32,538,Instagram Likes [Fast] [With Profile Pics] EMERGENCY,2.00,10,30000,53 hours,
33,236,🇮🇳Instagram Likes [INDIAN],0.85,50,10000,7 hours and 11 minutes,Instant Start100% Indian Likes.
34,220,🇹🇷Instgaram Likes [TURKEY],0.70,20,50000,9 hours and 18 minutes,
35,655,🇮🇷Instagram Likes [IRAN],1.20,100,3000,3 hours and 2 minutes,
36,679,🇨🇳Instagram Likes [CHINA],0.90,10,10000,Not enough data,
37,671,Instagram Likes - 5 Likes per 5 min,0.78,50,5000,15 hours and 42 minutes,Start time: 0-10 minNO REFILL
