,format_list_numberedID,storageService,bar_chartRateper1000,call_receivedMinorder,call_madeMaxorder,format_align_leftDescription
0,835,⭐👥Instagram Followers | CHEAP,$ 0.60,100,5000, notes × ⭐👥Instagram Followers | CHEAP 🔴 QUALITY IS LOW. Retention is low 65% or more will drop. This service is specifically for the cheapest rates out there. Please don't judge service quality on this server to be the same for all our other services.⌛ Start Time: 0-2 hours⚡ Speed per Day: 2 500 Followers✅ Refill: None🔻 Minimum Order: 100🔼 Maximum Order: 5 000🔴LINK EXAMPLE: https://instagram.com/carlton.bynum.official/ 
1,889,⭐👥Instagram Followers | Fast Start + Good Quality,$ 5.25,100,20000, notes × ⭐👥Instagram Followers | Fast Start + Good Quality ⌛ Start Time: 0-5 Minutes🔴 Drop Rate: 5-10%⚡ Speed per Day: 4 000-5 000 Followers✅ Refill Time: 15 Days🔻 Minimum Order: 100🔼 Maximum Order: 30 000🔴LINK EXAMPLE: https://instagram.com/Shoutout.Experts/ 
2,509,⭐👥Instagram Followers | Premium Quality,$ 6.30,100,30000, notes × ⭐👥Instagram Followers | Premium Quality 🔴 This is currently our best quality service. Many users post stories and are very active.🔴 If Drip-Feeding make sure Quantity is AT LEAST 100.⌛ Start Time: 0-5 minutes🔴 Drop Rate: 5-10%⚡ Speed per Day: 100-1 000 Followers✅ Refill Time: 15 Days🔻 Minimum Order: 100🔼 Maximum Order: 15 000🔴LINK EXAMPLE: https://instagram.com/carlton.bynum.official/ 
3,926,🇦🇪 👥Instagram Followers | Arab,$ 5.51,50,5000, notes × 🇦🇪 👥Instagram Followers | Arab ⌛ Start Time: 0-1 hours⚡ Speed per Day: 2 000 Followers✅ No Refill/No Refund🔻 Minimum Order: 100🔼 Maximum Order: 20 000🔴LINK EXAMPLE: https://instagram.com/Shoutout.Experts/ 
4,893,👍 Instagram Likes | CHEAP,$ 0.69,20,8500, notes × 👍 Instagram Likes | CHEAP ⌛ Start Time: 0-1 minute⚡ Speed per hour: 100 Likes✅ No Refill/No Refund for orders made after the 10th of April🔻 Minimum Order: 20🔼 Maximum Order: 100🔴LINK EXAMPLE: https://www.instagram.com/p/B8rgVdbA88z/ 
5,852,👍 Instagram Likes | NON-Drop,$ 1.88,50,10000, notes × 👍 Instagram Likes | NON-Drop ⌛ Start Time: 0-5 minutes⚡ Speed per hour: 1 000 Likes✅ NON-Drop🔻 Minimum Order: 100🔼 Maximum Order: 20 000🔴LINK EXAMPLE: https://www.instagram.com/p/B8rgVdbA88z/ 
6,836,👍 Instagram Likes | Premium,$ 3.60,50,10000, notes × 👍 Instagram Likes | Premium ⌛ Start Time: 0-5 minutes⚡ Speed per Hour: Up To 5 000 Likes✅ No Refill/No Refund for orders made after the 10th of April🔻 Minimum Order: 20🔼 Maximum Order: 30 000🔴LINK EXAMPLE: https://www.instagram.com/p/B8rgVdbA88z/ 
7,892,🔋👍 Instagram Likes | Powerlikes,$ 1.49,50,5000, notes × 🔋👍 Instagram Likes | Powerlikes 🔴 Likes are from Real User profiles with lots of activity posts and followers!⌛ Start Time: Instant⚡ Speed per Hour: 7 000 Likes✅ Lifetime non drop guarantee🔻 Minimum Order: 50🔼 Maximum Order: 7 000🔴 LINK EXAMPLE: https://www.instagram.com/p/B7uKhx0gH45/ 
8,821,💬👍 Instagram | Comment Likes,$ 1.45,100,10000, notes × 💬👍 Instagram | Comment Likes ⌛ Start Time: 0-1 hour ⚡ Speed per Day: 1 000 Comments✅ Lifetime non drop guarantee 🔻 Minimum Order: 20🔼 Maximum Order: 4 000🔴 To get the comment link click on the time of the comment 
9,521,💬Comments | Custom,$ 31.90,5,1000, notes × 💬Comments | Custom ❌MENTIONS NOT ALLOWED🔴 Be sure to repeat the same comments a couple of times in a row. Doing this will increase the chances of your comment having a profile picture! Also delete the duplicates after!⌛Start Time: 0-15 minutes⚡Speed per Day: 200 Comments✅Refill Time: 30 Day Warranty🔻Minimum Order: 10🔼Maximum Order: 500🔴LINK EXAMPLE: https://www.instagram.com/p/Bvc-o0dhkKw/ 
